key,16,27
#,ItemSearchCategory,CanBeHq
int32,ItemSearchCategory,bit&10
0,0,False
1,0,False
2,58,False
3,58,False
4,58,False
5,58,False
6,58,False
7,58,False
8,58,False
9,58,False
10,58,False
11,58,False
12,58,False
13,58,False
14,58,False
15,58,False
16,58,False
17,58,False
18,58,False
19,58,False
20,0,False
21,0,False
22,0,False
23,0,False
24,0,False
25,0,False
26,0,False
27,0,False
28,0,False
29,0,False
30,0,False
31,0,False
32,0,False
33,0,False
34,0,False
35,0,False
36,0,False
37,0,False
38,0,False
39,0,False
40,0,False
41,0,False
42,0,False
43,0,False
44,0,False
45,0,False
46,0,False
47,0,False
48,0,False
49,0,False
50,0,False
51,0,False
52,0,False
53,0,False
54,0,False
55,0,False
56,0,False
57,0,False
58,0,False
59,0,False
60,0,False
61,0,False
62,0,False
63,0,False
64,0,False
65,0,False
66,0,False
67,0,False
68,0,False
69,0,False
70,0,False
71,0,False
72,0,False
73,0,False
74,0,False
75,0,False
76,0,False
77,0,False
78,0,False
79,0,False
80,0,False
81,0,False
82,0,False
83,0,False
84,0,False
85,0,False
86,0,False
87,0,False
88,0,False
89,0,False
90,0,False
91,0,False
92,0,False
93,0,False
94,0,False
95,0,False
96,0,False
97,0,False
98,0,False
99,0,False
100,0,True
101,0,True
102,0,True
103,0,True
104,0,True
105,0,True
106,0,True
107,0,True
108,0,True
109,0,True
110,0,True
111,0,True
112,0,True
113,0,True
114,0,True
115,0,True
116,0,True
117,0,True
118,0,True
119,0,True
120,0,True
121,0,True
122,0,True
123,0,True
124,0,True
125,0,True
126,0,True
127,0,True
128,0,True
129,0,True
130,0,True
131,0,True
132,0,True
133,0,True
134,0,True
135,0,True
136,0,True
137,0,True
138,0,True
139,0,True
140,0,True
141,0,True
142,0,True
143,0,True
144,0,True
145,0,True
146,0,True
147,0,True
148,0,True
149,0,True
150,0,True
151,0,True
152,0,True
153,0,True
154,0,True
155,0,True
156,0,True
157,0,True
158,0,True
159,0,True
160,0,True
161,0,True
162,0,True
163,0,True
164,0,True
165,0,True
166,0,True
167,0,True
168,0,True
169,0,True
170,0,True
171,0,True
172,0,True
173,0,True
174,0,True
175,0,True
176,0,True
177,0,True
178,0,True
179,0,True
180,0,True
181,0,True
182,0,True
183,0,True
184,0,True
185,0,True
186,0,True
187,0,True
188,0,True
189,0,True
190,0,True
191,0,True
192,0,True
193,0,True
194,0,True
195,0,True
196,0,True
197,0,True
198,0,True
199,0,True
200,0,True
201,0,True
202,0,True
203,0,True
204,0,True
205,0,True
206,0,True
207,0,True
208,0,True
209,0,True
210,0,True
211,0,True
212,0,True
213,0,True
214,0,True
215,0,True
216,0,True
217,0,True
218,0,True
219,0,True
220,0,True
221,0,True
222,0,True
223,0,True
224,0,True
225,0,True
226,0,True
227,0,True
228,0,True
229,0,True
230,0,True
231,0,True
232,0,True
233,0,True
234,0,True
235,0,True
236,0,True
237,0,True
238,0,True
239,0,True
240,0,True
241,0,True
242,0,True
243,0,True
244,0,True
245,0,True
246,0,True
247,0,True
248,0,True
249,0,True
250,0,True
251,0,True
252,0,True
253,0,True
254,0,True
255,0,True
256,0,True
257,0,True
258,0,True
259,0,True
260,0,True
261,0,True
262,0,True
263,0,True
264,0,True
265,0,True
266,0,True
267,0,True
268,0,True
269,0,True
270,0,True
271,0,True
272,0,True
273,0,True
274,0,True
275,0,True
276,0,True
277,0,True
278,0,True
279,0,True
280,0,True
281,0,True
282,0,True
283,0,True
284,0,True
285,0,True
286,0,True
287,0,True
288,0,True
289,0,True
290,0,True
291,0,True
292,0,True
293,0,True
294,0,True
295,0,True
296,0,True
297,0,True
298,0,True
299,0,True
300,0,True
301,0,True
302,0,True
303,0,True
304,0,True
305,0,True
306,0,True
307,0,True
308,0,True
309,0,True
310,0,True
311,0,True
312,0,True
313,0,True
314,0,True
315,0,True
316,0,True
317,0,True
318,0,True
319,0,True
320,0,True
321,0,True
322,0,True
323,0,True
324,0,True
325,0,True
326,0,True
327,0,True
328,0,True
329,0,True
330,0,True
331,0,True
332,0,True
333,0,True
334,0,True
335,0,True
336,0,True
337,0,True
338,0,True
339,0,True
340,0,True
341,0,True
342,0,True
343,0,True
344,0,True
345,0,True
346,0,True
347,0,True
348,0,True
349,0,True
350,0,True
351,0,True
352,0,True
353,0,True
354,0,True
355,0,True
356,0,True
357,0,True
358,0,True
359,0,True
360,0,True
361,0,True
362,0,True
363,0,True
364,0,True
365,0,True
366,0,False
367,0,False
368,0,False
369,0,False
370,0,False
371,0,False
372,0,True
373,0,True
374,0,True
375,0,True
376,0,True
377,0,True
378,0,True
379,0,True
380,0,True
381,0,True
382,0,True
383,0,True
384,0,True
385,0,True
386,0,True
387,0,True
388,0,True
389,0,True
390,0,True
391,0,True
392,0,True
393,0,True
394,0,True
395,0,True
396,0,True
397,0,True
398,0,True
399,0,True
400,0,True
401,0,True
402,0,True
403,0,True
404,0,True
405,0,True
406,0,True
407,0,True
408,0,True
409,0,True
410,0,True
411,0,True
412,0,True
413,0,True
414,0,True
415,0,True
416,0,True
417,0,True
418,0,True
419,0,True
420,0,True
421,0,True
422,0,True
423,0,True
424,0,True
425,0,True
426,0,True
